ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln X0ee X0mm X0tt X1en X1mn X1tn X0en X0mn X0tn 
100580.slha -126.552036 96.1627457 124.721234 30.3892903 0.00365772205 0.675912823 0.1063527995 0.2140720009 3.491271532e-06 1.1637588367333198e-06 0.0356615074 0.0356615074 0.0350297847 5.81871502e-07 5.81871502e-07 1.583273332e-11 0.111325335 0.111325335 0.109331398 
10114862.slha -253.167126 222.847685 227.449095 30.319440999999983 0.0318721643 0.3106165661 0.0488894423 0.09791001399999999 0.3413159016 0.16939591159999998 0.016310271 0.016310271 0.0162689003 0.056900304 0.056900304 0.0555953036 0.117943222 0.117943222 0.0578357964 
10167889.slha 586.372189 -556.248445 558.852165 30.1237440000001 0.00724451778 0.26263756499999996 0.041343219199999996 0.0831604738 0.40463746 0.200976764 0.0138641455 0.0138641455 0.0136149282 0.0674401136 0.0674401136 0.0660965368 0.123786595 0.123786595 0.00980653101 
10179853.slha 338.753229 -308.514615 311.265026 30.238613999999984 0.0164642991 0.2613108232 0.0411503456 0.0828045379 0.3997746532 0.19849534139999997 0.0138039643 0.0138039643 0.013542417 0.0666253932 0.0666253932 0.065244555 0.123282731 0.123282731 0.0135293965 
10277574.slha 412.178804 -382.062391 385.313633 30.116413000000023 0.0138587134 0.27922511240000003 0.0439572988 0.0884970352 0.3839592128 0.1905026276 0.0147552402 0.0147552402 0.0144468184 0.0639577018 0.0639577018 0.062587224 0.120874068 0.120874068 0.0271011254 
10310712.slha 393.967847 -364.32882 366.081488 29.639027 0.011905487 0.23592262800000002 0.0371776574 0.074888492 0.427699716 0.2124060202 0.0124821457 0.0124821457 0.012213366 0.0712760382 0.0712760382 0.0698539438 0.200103932 0.200103932 0.0 
10362805.slha 262.960037 -232.538733 237.036005 30.421303999999992 0.0284706304 0.3081299564 0.048462642 0.0975670249 0.3458079272 0.171561819 0.0162668203 0.0162668203 0.0159290014 0.0576351172 0.0576351172 0.0562915846 0.118025573 0.118025573 0.0558033143 
10365287.slha -499.274801 469.623974 471.818615 29.65082700000005 0.00915519824 0.25076753209999997 0.039729217100000006 0.07933917809999999 0.414888856 0.2061200192 0.0132233155 0.0132233155 0.0132825861 0.0691467358 0.0691467358 0.0678265476 0.124746973 0.124746973 0.00196423273 
10580336.slha -597.682414 567.58575 569.335335 30.096664000000033 0.00611362652 0.2379654258 0.0374378022 0.075309755 0.429738944 0.21343444560000002 0.0125587978 0.0125587978 0.0123202066 0.0716047766 0.0716047766 0.0702248924 0.199615788 0.199615788 0.0 
10743819.slha -283.920804 253.835072 257.353633 30.08573199999998 0.0225130581 0.2819416673 0.044341658299999996 0.0892875492 0.3755190544 0.1863970128 0.0148853607 0.0148853607 0.0145709369 0.0625891822 0.0625891822 0.0612186484 0.120740356 0.120740356 0.0344190884 
10757451.slha 365.587776 -335.306108 362.861511 30.281668000000025 0.00202667322 0.676521207 0.1068463405 0.2145818965 1.768188804e-05 6.202339222e-06 0.0357624568 0.0357624568 0.0353214269 2.94698412e-06 2.94698412e-06 3.08370982e-07 0.11131974 0.11131974 0.109462369 
1078591.slha -770.743604 740.299358 742.595961 30.44424600000002 0.00348809383 0.2543071211 0.0399686791 0.0805194497 0.415364756 0.206351899 0.0134124324 0.0134124324 0.0131438143 0.0692409922 0.0692409922 0.0678699146 0.125120208 0.125120208 0.00338785665 
10845260.slha -339.483564 309.679687 313.883085 29.803877 0.0199106404 0.30671969439999996 0.0483534102 0.09736742400000001 0.352687102 0.17496172880000002 0.0162316558 0.0162316558 0.0158900986 0.0587832078 0.0587832078 0.0573953132 0.118759456 0.118759456 0.0501526414 
10859182.slha -184.461229 154.477955 159.416833 29.983273999999994 0.0531197607 0.31101808259999997 0.048876164 0.098556991 0.326493482 0.1619355198 0.0164208008 0.0164208008 0.0160345624 0.0544110184 0.0544110184 0.053113483 0.117007925 0.117007925 0.0635156114 
10913595.slha 560.884968 -530.487439 533.334321 30.397528999999963 0.00704663177 0.26948516 0.0424713327 0.0854903872 0.397895448 0.19761104000000002 0.0142509062 0.0142509062 0.0139695203 0.0663163256 0.0663163256 0.0649783888 0.122985187 0.122985187 0.0161031006 
10982362.slha 421.06365 -391.515357 395.047228 29.548293 0.0143457629 0.28916416159999997 0.0455873687 0.0917885286 0.3736880084 0.1854261696 0.0153043007 0.0153043007 0.0149787673 0.0622810844 0.0622810844 0.0608640008 0.120644328 0.120644328 0.0347058105 
11009201.slha 508.624238 -478.385406 480.841222 30.238832000000002 0.00753023375 0.2572642302 0.04050433 0.08154422659999999 0.40968666 0.2034703188 0.0135958561 0.0135958561 0.0133126178 0.0682811002 0.0682811002 0.0669081184 0.124191176 0.124191176 0.00638729113 
11086519.slha -425.425013 395.614195 399.690646 29.810817999999983 0.0156751456 0.30541822789999995 0.0480362968 0.0966892931 0.3570585736 0.1771224632 0.0161250939 0.0161250939 0.015786109 0.0595018614 0.0595018614 0.0581187404 0.1188103 0.1188103 0.0473991753 
11106931.slha -677.847862 648.321717 651.135127 29.52614499999993 0.00525066463 0.2708223422 0.0426862273 0.0859872909 0.3978029072 0.1974505676 0.0143368962 0.0143368962 0.0140124349 0.0663023138 0.0663023138 0.06484594 0.123158709 0.123158709 0.0151980723 
11127640.slha 141.483633 -111.643838 138.18575 29.839794999999995 0.00342473796 0.675206564 0.1064551176 0.21482215059999998 6.66161864e-05 2.481311254e-05 0.0357288581 0.0357288581 0.0349974014 1.110239026e-05 1.110239026e-05 2.60833202e-06 0.111368427 0.111368427 0.108935634 
11131268.slha -126.398435 95.8995275 121.559119 30.4989075 0.00318498755 0.6752920809999999 0.1064278059 0.21459408389999998 0.0003526030872 0.00014843782640000001 0.0355292085 0.0355292085 0.0353693889 5.87673336e-05 5.87673336e-05 3.09031592e-05 0.111305468 0.111305468 0.109562687 
11220685.slha 285.019282 -255.108292 258.769715 29.91098999999997 0.0272789678 0.2843924222 0.0451633915 0.0898634235 0.3696634048 0.1836383904 0.0149799099 0.0149799099 0.0152035717 0.0616017678 0.0616017678 0.0604348548 0.120123199 0.120123199 0.0382937989 
11377169.slha -315.949452 286.258147 289.762337 29.691305 0.0206673892 0.2841567966 0.0447241162 0.0901094862 0.3744887404 0.1858534716 0.0150140977 0.0150140977 0.0146959208 0.0624256262 0.0624256262 0.0610022192 0.120924281 0.120924281 0.0339568964 
11487422.slha 501.419969 -471.428394 474.181056 29.991574999999955 0.00954855424 0.2664127613 0.041964529 0.0845062564 0.3993095508 0.1982583482 0.0140857177 0.0140857177 0.0137930936 0.066547768 0.066547768 0.0651628122 0.123238485 0.123238485 0.0135614607 
11527499.slha -126.513669 96.8866001 104.322628 29.627068899999998 0.000183885972 0.40523632029999995 0.0638545152 0.1285972422 0.2690204624 0.133107574 0.0214417489 0.0214417489 0.0209710174 0.0448370294 0.0448370294 0.0434335152 0.114147795 0.114147795 0.0868168896 
11590363.slha 277.712623 -247.250882 251.387508 30.461741000000018 0.026249818 0.29752406800000003 0.0468145 0.094046563 0.3577566136 0.1776084372 0.0156770089 0.0156770089 0.0154604822 0.059627472 0.059627472 0.0583534932 0.118926562 0.118926562 0.0488606984 
11703463.slha -389.983812 360.075969 363.250542 29.907843000000014 0.014767133 0.27640937740000004 0.0435499472 0.0876689824 0.3859901704 0.19161438979999998 0.014616758 0.014616758 0.0143164312 0.064330821 0.064330821 0.0629527478 0.121853023 0.121853023 0.0251611795 
11704048.slha 514.561967 -484.576881 512.884484 29.985085999999967 0.00154327846 0.676151174 0.1069543531 0.2153498292 8.19930702e-07 5.46621128e-07 0.0358828233 0.0358828233 0.0351887065 2.73310564e-07 2.73310564e-07 0.0 0.111345242 0.111345242 0.109250498 
