ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln 
10008667.slha 116.185715 -111.562094 114.341932 4.623621 0.0853077161 0.580793698 0.08382525726000001 0.22628209970000002 0.0178432538 0.005947975080700001 
10009803.slha 647.366163 -642.484191 645.052413 4.881972000000019 0.038762674 0.588836084 0.0874952511 0.22932181470000002 0.0415340588 0.014050118521999999 
10014244.slha -133.837126 128.510309 131.839153 5.3268170000000055 0.0709090414 0.5910232719999999 0.09099691789999999 0.22903871739999998 0.01351997668 0.0045120738952800004 
10014823.slha 531.786032 -526.35311 528.328004 5.432921999999962 0.0273412007 0.49359800200000004 0.0770399071 0.1921900922 0.1522110132 0.057619785179999994 
10015852.slha -926.767131 921.28383 923.352146 5.483300999999983 0.0151011844 0.511352418 0.08041368659999999 0.1993720476 0.1406885288 0.053072135420000006 
10018308.slha 240.975327 -235.683847 237.999105 5.291480000000007 0.0556264192 0.533302018 0.08191389360000001 0.2069817338 0.08981706 0.0323588765 
10018605.slha -308.523586 304.015685 305.95734 4.507901000000004 0.0662484884 0.527440592 0.07502345011 0.205545979 0.0934695392 0.032271950333999995 
10019099.slha 361.949731 -356.749696 360.148536 5.200035000000014 0.0367362349 0.6167949020000001 0.09426521780000001 0.240000261 0.00915253292 0.0030508512137825397 
10019785.slha -1214.65305 1209.67557 1211.4803 4.977479999999787 0.797169311 0.1034068022 0.01546862241 0.0402300432 0.03197002936 0.011755191996000001 
10019943.slha 691.734556 -686.701617 688.996775 5.032938999999942 0.0307612179 0.560419528 0.0843824258 0.2182937833 0.0785579816 0.027585063405999997 
10020013.slha 243.090554 -238.359093 240.946587 4.731460999999996 0.0681827605 0.5784146960000001 0.08430499518000001 0.2251112315 0.032944435 0.0110418807204 
10022467.slha -234.918127 229.843674 232.390162 5.074453000000005 0.0643389263 0.562538076 0.0850451466 0.21852272029999997 0.0517475992 0.017807531704 
10023583.slha 160.478261 -155.563613 158.100312 4.914648 0.0735578313 0.563030202 0.0839063423 0.2191737913 0.045029482 0.015302351186000002 
10027320.slha -513.736654 508.294142 510.381249 5.442512000000022 0.0320426898 0.507646162 0.0793052324 0.1976940391 0.1333485552 0.04996332036 
10034607.slha 698.623542 -693.364015 695.398993 5.259527000000048 0.0259749872 0.514258954 0.07971506219999999 0.2000410299 0.1313300116 0.04867995526 
10034733.slha 273.593704 -268.585656 271.367167 5.008048000000031 0.065786128 0.5805734339999999 0.087318036 0.22621081399999998 0.03001293104 0.0100986580106 
10034965.slha -692.649466 687.206645 688.549948 5.442820999999981 0.0140629616 0.38742691939999996 0.060465068500000003 0.1507090542 0.2765562604 0.11077973512 
10035497.slha 209.70384 -204.40633 207.652744 5.297510000000017 0.0687682341 0.58994232 0.0909895853 0.2296830593 0.01545329092 0.00516350981456 
10037822.slha 241.424282 -236.787568 238.756908 4.636714000000012 0.0684815425 0.521344316 0.07518782781 0.2028232071 0.097995958 0.03416714843799999 
10038340.slha 872.796257 -867.748213 870.707231 5.048044000000004 0.0369816248 0.606462506 0.0914303567 0.2362040259 0.02167187248 0.0072496142642 
10039399.slha -508.340114 503.783849 506.315078 4.556265000000053 0.0773786814 0.576941452 0.08222132418 0.2239430692 0.02962323708 0.009892234303360002 
10040520.slha 233.627592 -229.041206 231.272033 4.5863860000000045 0.0768288226 0.551290482 0.0789674957 0.21436576010000002 0.0586509448 0.019896494742 
1004101.slha 106.463521 -101.910665 104.019847 4.552856000000006 0.072117268 0.541720126 0.07736043368 0.21085496110000002 0.0730100508 0.024937161469999997 
10043510.slha -298.57415 293.942024 295.68391 4.632125999999971 0.0546581303 0.493835026 0.07116580655 0.19218266969999998 0.1386791284 0.04947924014 
10044617.slha 276.573503 -272.04979 274.883434 4.523713000000043 0.0779107693 0.594717172 0.08500384495 0.2316015146 0.0064600181 0.0043066816 
10045304.slha -712.897527 708.094669 710.220612 4.802858000000015 0.0328048812 0.552687246 0.08122976628 0.2152238824 0.0875136004 0.030540622256000002 
10045717.slha 247.525104 -242.405313 244.832949 5.119790999999992 0.0575547855 0.553435672 0.0839574032 0.2152825477 0.0665190888 0.023250502723999998 
