ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln 
1373804.slha -166.280557 116.326055 121.359101 49.95450199999999 0.00345392701 0.25744573709999996 0.039648151 0.0796864407 0.412962668 0.2068030752 
14286128.slha -172.108633 122.542172 127.949084 49.566461000000004 0.0040637386 0.2629676582 0.0400943349 0.0817750636 0.4068725 0.2042267058 
14521301.slha -459.998214 409.766944 411.242419 50.231269999999995 0.000570071301 0.2151499003 0.032864927 0.0665513114 0.45701442 0.22784936919999998 
1476368.slha -347.526272 297.443702 300.384647 50.08257000000003 0.00107389087 0.2394520819 0.0367712424 0.0738324733 0.432877576 0.2159927366 
14778183.slha 680.656673 -630.930714 632.102995 49.72595899999999 0.000397417593 0.21185937999999999 0.0325384315 0.0652911818 0.460362424 0.229551167 
15306027.slha 1467.05167 -1416.62413 1417.34791 50.427540000000135 8.07996392e-05 0.2046770116 0.0315914636 0.0633877584 0.467169152 0.2330938132 
1564953.slha -525.975414 475.545975 477.340591 50.429439 0.000506297607 0.2224739844 0.0343200729 0.06833607729999999 0.449744272 0.2246192968 
1586348.slha 398.299487 -348.458089 351.187682 49.84139800000003 0.000924329182 0.23759466489999997 0.0365833531 0.073326162 0.434672096 0.21689939459999996 
16165010.slha -187.327142 137.642745 141.821075 49.68439700000002 0.00290081826 0.24766492049999997 0.0379420507 0.0762498111 0.423760584 0.211481817 
16302887.slha -212.923549 162.837219 166.495583 50.086330000000004 0.00182541473 0.2459977424 0.037751612500000004 0.0757027368 0.426172648 0.21254984580000003 
16426037.slha 169.552428 -119.405982 124.425739 50.146446 0.00338106585 0.2581741275 0.0395977045 0.0793277676 0.413507284 0.20601205139999998 
1684065.slha -416.524196 366.047402 367.785358 50.47679400000004 0.00051639207 0.2195794635 0.0337644109 0.06772243359999999 0.452605572 0.22581172800000002 
16898459.slha -720.195177 670.587731 672.458779 49.60744599999998 0.000413523055 0.2252272118 0.0346623649 0.0695004687 0.447123664 0.2230727666 
17352744.slha 318.42654 -267.938527 270.290486 50.48801299999997 0.000886404151 0.22788347870000003 0.0350395774 0.070281708 0.444271532 0.2216372978 
17493688.slha 407.9042 -358.149356 360.790684 49.75484399999999 0.0 0.0 0.0 0.0 0.0 0.0 
17882549.slha -229.31766 178.884231 182.232208 50.43342899999999 0.00181502269 0.2384679914 0.036425106299999996 0.0738855375 0.432922092 0.21648424859999998 
1862920.slha 293.730526 -243.715 246.874827 50.015525999999994 0.00135393169 0.24147857029999997 0.0371329147 0.0746275453 0.430530996 0.2148760428 
1878454.slha -201.952195 152.018539 156.558358 49.933655999999985 0.00290246002 0.2550611979 0.039251027 0.0787053325 0.416380416 0.20769956679999999 
18888630.slha -389.806942 340.228745 341.925838 49.57819699999999 0.000747465435 0.218499316 0.0336257603 0.0674525931 0.45346558 0.22620928500000004 
