ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln X0ee X0mm X0tt X1en X1mn X1tn X0en X0mn X0tn 
10348504.slha 199.341603 -159.338049 164.406224 40.00355399999998 0.0106444937 0.29180806330000003 0.045196544400000004 0.09075636249999999 0.374942702 0.186651834 0.0151332075 0.0151332075 0.0149301294 0.0624829184 0.0624829184 0.0616859972 0.116787887 0.116787887 0.0648642703 
10529854.slha 252.65586 -212.800677 216.884529 39.85518299999998 0.00798546138 0.2730880886 0.0422831339 0.0848210882 0.395062938 0.1967592902 0.0141399399 0.0141399399 0.0140032541 0.0658350318 0.0658350318 0.0650892266 0.118961776 0.118961776 0.0476707576 
10901861.slha -250.752469 210.816391 215.494237 39.93607799999998 0.0085143604 0.2863472321 0.044389841 0.0890513081 0.381622156 0.190075103 0.0148478358 0.0148478358 0.0146941694 0.0636036178 0.0636036178 0.0628678674 0.117626924 0.117626924 0.0589565471 
10916183.slha -387.171826 347.519037 350.251081 39.652788999999984 0.00377770888 0.2489495418 0.0385982015 0.0775007367 0.421302848 0.2098709624 0.0129178035 0.0129178035 0.0127625945 0.0702149536 0.0702149536 0.0694410552 0.123411276 0.123411276 0.0130292426 
11108250.slha -498.760563 458.863709 462.83757 39.89685400000002 0.00264639534 0.2797319168 0.0433322257 0.0869579285 0.3920489936 0.19528254040000004 0.0144978908 0.0144978908 0.0143364441 0.065342591 0.065342591 0.0645973584 0.119307017 0.119307017 0.045286287 
11387218.slha 212.1894 -172.111465 175.639576 40.077935 0.00798683661 0.2590192911 0.0401191001 0.0805643061 0.408754568 0.20355589899999998 0.0134336749 0.0134336749 0.0132517503 0.068118324 0.068118324 0.067319251 0.120560167 0.120560167 0.0345767955 
11417311.slha 144.167022 -104.12153 110.77923 40.045491999999996 0.020730461 0.3101147052 0.047925533500000006 0.0962121246 0.3505459768 0.174471199 0.016040827 0.016040827 0.0158438795 0.0584231028 0.0584231028 0.0576249934 0.114796358 0.114796358 0.0816144354 
11493734.slha 201.531583 -161.736693 168.330298 39.79489000000001 0.0167131932 0.3249133301 0.0502433085 0.1010235158 0.3387798684 0.1683267842 0.016827636 0.016827636 0.0165880365 0.0563641308 0.0563641308 0.0555985226 0.114331976 0.114331976 0.0809006138 
11583635.slha 592.329755 -551.92364 553.577229 40.406115 0.00142298264 0.2270832488 0.0350568724 0.0708336236 0.444292612 0.2213106588 0.0117105732 0.0117105732 0.011635726 0.0740114644 0.0740114644 0.07328773 0.20378106 0.20378106 0.0 
11587752.slha 225.455744 -185.02634 189.260726 40.429404000000005 0.00981414905 0.27126547489999997 0.041801229 0.0838977291 0.3960832864 0.1971381318 0.0139878715 0.0139878715 0.013825486 0.0659709504 0.0659709504 0.065196231 0.118373354 0.118373354 0.0505907954 
11664022.slha 559.061969 -518.97565 520.944162 40.086319 0.00174945008 0.2342949897 0.0363155068 0.0728773797 0.437010384 0.2177522904 0.0121477856 0.0121477856 0.0120199356 0.0728344484 0.0728344484 0.0720833936 0.199959305 0.199959305 0.000332990892 
11824115.slha 762.280445 -722.46545 725.048763 39.81499499999995 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.116288567 0.116288567 0.00871234261 
11842090.slha -585.958863 545.814799 547.339621 40.14406399999996 0.00149193259 0.2242852327 0.034608964 0.0699852521 0.446940256 0.2226883632 0.0115528865 0.0115528865 0.011503191 0.0745090878 0.0745090878 0.0736701876 0.204265781 0.204265781 0.0 
12057826.slha -351.308615 311.324065 314.383563 39.984549999999956 0.00432788753 0.2548574636 0.0395363646 0.079371147 0.415119104 0.20678803099999998 0.013231795 0.013231795 0.0130727746 0.069184031 0.069184031 0.068419969 0.122214395 0.122214395 0.0219743463 
12121736.slha -419.283547 379.497924 382.120897 39.78562299999999 0.00312344291 0.24712137609999996 0.0383920779 0.07697959439999999 0.423357108 0.211026402 0.0128313785 0.0128313785 0.0127293209 0.0705595032 0.0705595032 0.0699073956 0.123742359 0.123742359 0.0102554957 
1220037.slha 495.439944 -455.92724 457.846068 39.51270400000004 0.00232338694 0.2330406505 0.0361644411 0.0725715249 0.437786024 0.2181139736 0.0120978595 0.0120978595 0.0119687221 0.0729566616 0.0729566616 0.0722006504 0.199896321 0.199896321 0.000130641285 
12425715.slha 147.029213 -106.899866 112.918195 40.129346999999996 0.0179896706 0.29895324 0.045961837900000004 0.0928350168 0.3631102652 0.18114996919999998 0.0153646786 0.0153646786 0.0152324807 0.060709306 0.060709306 0.0597313572 0.116361718 0.116361718 0.0760975338 
12488675.slha -727.971812 688.017647 689.491225 39.95416499999999 0.000985810389 0.2241149457 0.0347914463 0.0698893574 0.447379764 0.2228386766 0.0116470115 0.0116470115 0.0114974233 0.0745627552 0.0745627552 0.0737131662 0.199976991 0.199976991 0.0 
12886384.slha -141.275163 101.247642 107.129946 40.02752099999999 0.0210373427 0.2882851481 0.0446557652 0.0896439434 0.3714478352 0.1849299654 0.0149452063 0.0149452063 0.0147653526 0.0619040158 0.0619040158 0.0611219338 0.115639885 0.115639885 0.0748950269 
12958262.slha -352.800465 313.008781 317.628463 39.791683999999975 0.00664504508 0.2956435583 0.0456589892 0.0926247319 0.3729449632 0.1864827124 0.0153354191 0.0153354191 0.014988151 0.0621584328 0.0621584328 0.0621658468 0.117388391 0.117388391 0.0608691274 
13220854.slha -175.724826 135.955956 140.504053 39.76887000000002 0.0131943501 0.2736815711 0.0426966132 0.0851172084 0.3904458476 0.1948644098 0.0141866301 0.0141866301 0.014323353 0.0650755692 0.0650755692 0.0647132714 0.117880714 0.117880714 0.057106311 
13402743.slha 321.171086 -281.163795 284.636499 40.00729100000001 0.00537108474 0.2629327647 0.0405521201 0.0822258899 0.406252952 0.20266519 0.0135382409 0.0135382409 0.0134756383 0.0678637534 0.0678637534 0.0669376832 0.123492917 0.123492917 0.0329569146 
13781735.slha -760.447744 720.924771 722.953262 39.52297299999998 0.00127420956 0.2368227765 0.0372429881 0.0738711055 0.434242868 0.2165460516 0.0123070789 0.0123070789 0.0126288303 0.0723740024 0.0723740024 0.0717980468 0.12492497 0.12492497 0.000477656903 
13824666.slha -168.109003 128.430359 150.693224 39.67864399999999 0.00057456862 0.643879514 0.0997117578 0.2002749244 0.03724745324 0.01831178096 0.0333937183 0.0333937183 0.0329243212 0.0062073948 0.0062073948 0.00589699136 0.111439931 0.111439931 0.107969363 
13941140.slha 201.336398 -161.035288 166.330008 40.301109999999994 0.0119607567 0.2931204936 0.045384437300000004 0.0910657555 0.3728405896 0.1856279676 0.0151809755 0.0151809755 0.0150224863 0.0621244668 0.0621244668 0.061379034 0.11640382 0.11640382 0.0679574476 
1415484.slha 314.049542 -273.745869 277.113977 40.30367299999995 0.00479217296 0.2596660909 0.0402121474 0.08072798910000001 0.410246376 0.2043552228 0.0134573656 0.0134573656 0.0132974162 0.0683778272 0.0683778272 0.0675995684 0.121246459 0.121246459 0.0304528049 
14333481.slha -377.107976 337.461065 369.371375 39.64691099999999 0.0009240828 0.680018337 0.1056401669 0.212185823 0.0008420026 0.0003895884718 0.035366034 0.035366034 0.0349080989 0.0001403344328 0.0001403344328 0.0001089196062 0.11130026 0.11130026 0.10961446 
14523617.slha -366.731156 326.947968 330.312013 39.783187999999996 0.00376482282 0.2646243361 0.0407190529 0.08167442600000001 0.406697936 0.2025194272 0.0136124968 0.0136124968 0.0134940593 0.0677839506 0.0677839506 0.066951526 0.121205762 0.121205762 0.030411674 
14594307.slha 640.767105 -600.291994 602.137215 40.47511099999997 0.00143798322 0.23092723040000002 0.0357090242 0.0716634609 0.440692608 0.2195696946 0.0119520297 0.0119520297 0.0118049648 0.0734401832 0.0734401832 0.0726893282 0.199428767 0.199428767 1.20335162e-05 
14800114.slha -604.220518 564.502409 566.317346 39.71810900000003 0.00167039827 0.2314723229 0.0360035551 0.0721522738 0.43956598 0.2191354714 0.0119940133 0.0119940133 0.0120155285 0.0732654078 0.0732654078 0.0726046558 0.201133177 0.201133177 1.69501385e-06 
14854712.slha -324.727516 285.058067 288.191362 39.669448999999986 0.00569644744 0.2559093959 0.0394591395 0.0791816696 0.413699836 0.2060535128 0.0132112763 0.0132112763 0.0130365869 0.0689567934 0.0689567934 0.068139926 0.122104945 0.122104945 0.0239983911 
14957991.slha -183.665953 143.637148 148.348325 40.028805000000006 0.0121664262 0.2789920563 0.0431944088 0.0867177958 0.386460372 0.1924689406 0.0144576109 0.0144576109 0.014279187 0.064409965 0.064409965 0.0636490106 0.117550745 0.117550745 0.0596027272 
15056202.slha 157.473671 -117.502768 125.576008 39.97090299999999 0.023266452 0.3474730105 0.05375439059999999 0.1079538515 0.3123222468 0.1552300486 0.0179994177 0.0179994177 0.0177555552 0.05201033 0.05201033 0.0512093886 0.113556978 0.113556978 0.0899255586 
1509935.slha 195.149614 -155.154216 159.954855 39.99539800000002 0.012116639 0.2819822981 0.0436008376 0.08749533749999999 0.3837011456 0.1911037424 0.0145800763 0.0145800763 0.014440685 0.0639563222 0.0639563222 0.063191098 0.117453412 0.117453412 0.0609467663 
