ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln X0ee X0mm X0tt X1en X1mn X1tn X0en X0mn X0tn 
100912543.slha -474.143305 -459.493448 473.603762 14.649856999999997 0.516624016 0.3550501372 0.0387773664 0.0820512004 0.00449742174 0.002999858336 0.0138053522 0.0138053522 0.011166662 0.001499929168 0.001499929168 0.0 0.111272175 0.111272175 0.10324668 
101659834.slha -552.296216 537.581465 551.70069 14.714750999999978 0.121717431 0.6095596302999999 0.06761096529999999 0.1374368996 0.0382056578 0.02546941392 0.0234994805 0.0234994805 0.0206120043 0.01273470696 0.01273470696 0.0 0.0852046282 0.0852046282 0.0781393498 
102256340.slha 693.509219 678.464807 693.00642 15.04441200000008 0.0132795295 0.31849762349999994 0.3215480979 0.29707891319 0.0297454546 0.01985038224 0.15335792 0.15335792 0.0148322579 0.00992519112 0.00992519112 0.0 0.112555144 0.112555144 0.103679133 
102546761.slha -859.663559 844.467107 860.826454 15.196451999999908 0.00254582473 0.6542824902000001 0.112511948 0.2306597372 0.0 0.0 0.0384519933 0.0384519933 0.0356079614 0.0 0.0 0.0 0.111716796 0.111716796 0.105462852 
102759825.slha -339.745133 325.215384 339.545542 14.529749000000038 0.68937072 0.0586025451 0.14477017655000002 0.10714620268 6.59474624e-05 4.4407928e-05 0.0716262953 0.0716262953 0.00151758595 2.2203964e-05 2.2203964e-05 0.0 0.248751545 0.248751545 0.0555747968 
103307544.slha 739.771144 724.377507 739.454916 15.393637000000012 0.000298794982 0.9542394607899999 0.02909261352 0.01500180932 0.000823780784 0.000543540624 0.0120534039 0.0120534039 0.00498580572 0.000271770312 0.000271770312 0.0 0.110446132 0.110446132 0.103097718 
104333450.slha 172.936522 158.300255 173.087073 14.636267000000004 0.0513249105 0.8200363234 0.08434463633 0.044294129662 0.0 0.0 0.0401540626 0.0401540626 0.00403651113 0.0 0.0 0.0 0.11183971 0.11183971 0.104070828 
104814209.slha -1018.48712 -1003.83172 1016.68217 14.655399999999986 0.00224373015 0.0025042066327 0.2016090252712 0.27794192724412403 0.3868579344 0.12884317597659498 2.60731356e-05 2.60731356e-05 0.201556879 0.0644214888 0.0644214888 1.98376595e-07 0.103780464 0.103780464 0.168847408 
105195314.slha -568.4771 553.45698 568.338301 15.020119999999906 0.207251625 0.0007244989568 0.33213155380446 0.45989226154942003 0.0 5.98567488e-08 6.06890223e-06 6.06890223e-06 0.332119416 2.99283744e-08 2.99283744e-08 0.0 2.05708456e-05 2.05708456e-05 0.998840497 
105664854.slha -742.61402 -727.262286 741.512819 15.351733999999965 0.309843245 0.34527432939999997 0.02734669544 0.0651313918 0.151439416 0.1009649228 0.00850026907 0.00850026907 0.0103461573 0.0504824614 0.0504824614 0.0 0.112018091 0.112018091 0.103831026 
