ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln X0ee X0mm X0tt X1en X1mn X1tn X0en X0mn X0tn 
100312876.slha -166.132748 136.537547 166.082519 29.595201000000003 0.00368747739 0.675494198 0.10643723199999999 0.2143810939 0.0 9.81241276e-15 0.035720387 0.035720387 0.034996458 9.81241276e-15 0.0 0.0 0.111312933 0.111312933 0.109459293 
101309284.slha 202.926081 -173.26971 205.077677 29.656371000000007 0.00325370786 0.675982942 0.10600041599999999 0.2147629339 0.0 0.0 0.0354660302 0.0354660302 0.0350683556 0.0 0.0 0.0 0.111269531 0.111269531 0.109700149 
101623176.slha 450.453857 -420.008222 450.475569 30.44563500000004 0.00166355454 0.67658335 0.1067661151 0.214986979 0.0 0.0 0.0357681251 0.0357681251 0.0352298649 0.0 0.0 0.0 0.111309804 0.111309804 0.109514823 
102057829.slha 470.687097 -441.029113 470.639136 29.657984 0.00164106962 0.6760540939999999 0.10699478300000001 0.21531005450000001 0.0 6.17656934e-15 0.0358711289 0.0358711289 0.0352525252 6.17656934e-15 0.0 0.0 0.111298537 0.111298537 0.109519034 
102706018.slha -145.660982 115.290844 144.096543 30.370137999999983 0.00351002242 0.675735558 0.10643817289999999 0.2143149559 7.7471928e-07 5.1647794e-07 0.0357207835 0.0357207835 0.0349966059 2.5823897e-07 2.5823897e-07 0.0 0.111335509 0.111335509 0.109295405 
103669378.slha -241.899638 212.174693 240.990531 29.72494500000002 0.0029209297 0.675594923 0.1066554653 0.21482859789999997 4.94177082e-08 3.294390484e-08 0.0357997857 0.0357997857 0.0350558939 1.647195242e-08 1.647195242e-08 0.0 0.111326164 0.111326164 0.109243186 
103960559.slha -363.623448 333.895955 366.573386 29.72749299999998 0.00194313964 0.679305844 0.10554461970000001 0.2132063953 0.0 0.0 0.0355233966 0.0355233966 0.0344978265 0.0 0.0 0.0 0.1105862 0.1105862 0.109278313 
105108971.slha -624.81674 594.931297 625.89422 29.88544300000001 0.00125456492 0.676868907 0.1068051451 0.2150713812 0.0 0.0 0.0358516936 0.0358516936 0.0351017579 0.0 0.0 0.0 0.111297328 0.111297328 0.109518624 
106163758.slha -607.909981 -577.600551 607.655812 30.30943000000002 0.122626592 0.5089248112 0.24008192564 0.12816722417 0.0001196049378 7.98412224e-05 0.116286231 0.116286231 0.00750946364 3.99206112e-05 3.99206112e-05 0.0 0.111891601 0.111891601 0.108595071 
106361903.slha -637.186718 607.399774 638.453227 29.786944000000062 0.00124208651 0.676930667 0.1070800031 0.21474724490000002 0.0 0.0 0.0357718849 0.0357718849 0.0355362333 0.0 0.0 0.0 0.111280563 0.111280563 0.109563369 
106586381.slha 712.523687 682.329088 711.864153 30.19459900000004 0.161068216 0.689451852 0.044195559 0.09693118270000001 0.00501201676 0.003341175312 0.015148223 0.015148223 0.013899113 0.001670587656 0.001670587656 0.0 0.111210069 0.111210069 0.109369839 
106637030.slha -266.109847 235.6502 265.738139 30.45964699999999 0.00265267196 0.6767888989999999 0.1063214526 0.2142369761 5.08592272e-10 3.39060824e-10 0.0356207929 0.0356207929 0.0350798668 1.69530412e-10 1.69530412e-10 0.0 0.111236579 0.111236579 0.109532689 
107561055.slha -368.631006 338.630283 370.902239 30.000722999999994 0.00164567634 0.677920049 0.106354896 0.2140793781 0.0 0.0 0.0357018497 0.0357018497 0.0349511966 0.0 0.0 0.0 0.111144853 0.111144853 0.109489485 
108539536.slha 236.711412 -206.808896 236.08845 29.90251599999999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.111319364 0.111319364 0.109433862 
111036150.slha 267.827815 -237.546809 267.888324 30.28100599999999 0.00267265599 0.67687305 0.1063361193 0.2141181755 0.0 0.0 0.0356247484 0.0356247484 0.0350866225 0.0 0.0 0.0 0.11123118 0.11123118 0.109470348 
111424588.slha -557.576715 527.473144 559.215262 30.103570999999988 0.00127984298 0.677406822 0.1066013369 0.21471199950000003 0.0 0.0 0.0357914352 0.0357914352 0.0350184665 0.0 0.0 0.0 0.111123966 0.111123966 0.109479886 
112094412.slha -328.551029 298.834922 328.507152 29.716107000000022 0.00222040667 0.676287297 0.1066683649 0.21482393119999998 0.0 4.2537273e-15 0.0357772071 0.0357772071 0.0351139507 4.2537273e-15 0.0 0.0 0.111316306 0.111316306 0.109420583 
112243079.slha 1053.12116 -1022.64977 1051.72619 30.47138999999993 0.000253649092 0.02674161559 0.0018673265479999999 0.00016392238820000003 0.0730225908 0.0486887764 0.000685747977 0.000685747977 0.000495830594 0.0243443882 0.0243443882 0.0 1.37764545e-05 1.37764545e-05 1.72112487e-05 
113731531.slha 404.417365 -374.74806 404.3804 29.66930500000001 0.00188080159 0.6761920659999999 0.10682208530000001 0.21510504730000002 0.0 1.78463316e-15 0.0358536042 0.0358536042 0.0351148769 1.78463316e-15 0.0 0.0 0.111349987 0.111349987 0.10918551 
114974043.slha -458.957137 428.748028 459.233877 30.209109000000012 0.0018180451 0.677779571 0.1063278344 0.21407454860000003 0.0 0.0 0.0356345079 0.0356345079 0.0350588186 0.0 0.0 0.0 0.11105456 0.11105456 0.109976512 
116809273.slha 162.548522 -132.176082 162.116591 30.372439999999983 0.00268625745 0.677828735 0.1057339396 0.2137510655 2.12296166e-09 1.416632632e-09 0.035374598 0.035374598 0.0349847436 7.08316316e-10 7.08316316e-10 0.0 0.110863393 0.110863393 0.109497758 
117875906.slha -255.519352 225.086983 255.050013 30.432368999999994 0.00253578618 0.6767814839999999 0.1065332127 0.2141495127 1.738429104e-09 1.158945012e-09 0.0357051565 0.0357051565 0.0351228997 5.79472506e-10 5.79472506e-10 0.0 0.111286856 0.111286856 0.109667409 
118464393.slha -337.138951 -307.487824 321.680378 29.65112700000003 0.211044779 0.0050464366460000005 0.000909448921 0.001455309998 0.52435892 0.2571851038 0.00031483108 0.00031483108 0.000279786761 0.0874196092 0.0874196092 0.0823458854 0.112000471 0.112000471 0.104204444 
121841034.slha 208.871619 -178.680316 208.0247 30.191303000000005 0.00280816338 0.676622863 0.106345576 0.2142233422 3.31484438e-08 2.209870824e-08 0.03558721 0.03558721 0.035171156 1.104935412e-08 1.104935412e-08 0.0 0.111254953 0.111254953 0.109306856 
121900513.slha 394.595447 -364.328373 395.549166 30.26707399999998 0.0017998621 0.677034609 0.1065645579 0.2146009714 0.0 0.0 0.035749809 0.035749809 0.0350649399 0.0 0.0 0.0 0.111236166 0.111236166 0.10954411 
122310716.slha -247.354907 217.6367 247.291403 29.718207000000007 0.00279933503 0.675382871 0.1073581052 0.2144596905 0.0 2.8745575e-14 0.0357314837 0.0357314837 0.0358951378 2.8745575e-14 0.0 0.0 0.111148276 0.111148276 0.110731887 
126075388.slha 229.160059 198.766196 227.005487 30.393862999999982 0.0613568722 0.642656624 0.0961824197 0.19631971780000002 0.002609901504 0.00087446367822 0.0324138052 0.0324138052 0.0313548093 0.000434649252 0.000434649252 5.16517422e-06 0.11128237 0.11128237 0.109069253 
126364082.slha -226.150224 196.065933 227.925671 30.084291000000007 0.0027969943 0.676024296 0.1068299452 0.21434876339999998 0.0 0.0 0.0356829503 0.0356829503 0.0354640446 0.0 0.0 0.0 0.111145377 0.111145377 0.11024759 
126891160.slha 227.193824 -197.021497 228.116851 30.172326999999996 0.00277228537 0.6763286879999999 0.10647852960000001 0.2144204978 0.0 0.0 0.0357374269 0.0357374269 0.0350036758 0.0 0.0 0.0 0.111301376 0.111301376 0.109529799 
128764390.slha 221.826481 -191.539544 220.786204 30.286936999999995 0.00274439723 0.676120042 0.1064599039 0.2146754782 1.06577242e-07 7.10513156e-08 0.0357522541 0.0357522541 0.0349553957 3.55256578e-08 3.55256578e-08 0.0 0.111315115 0.111315115 0.109410647 
130295570.slha -390.458167 360.832417 390.644669 29.625749999999982 0.00166120814 0.676486975 0.1067834491 0.21506836689999997 0.0 0.0 0.0358220711 0.0358220711 0.0351393069 0.0 0.0 0.0 0.111282188 0.111282188 0.109450027 
130747980.slha 575.414784 -545.384996 575.377552 30.029788000000053 0.00133319496 0.676516885 0.106852045 0.2152978756 0.0 1.798237524e-15 0.0358562564 0.0358562564 0.0351395322 1.798237524e-15 0.0 0.0 0.111318761 0.111318761 0.109409686 
131731318.slha 1032.08615 -1001.98597 1032.26008 30.100180000000137 0.0772950944 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
132017613.slha -754.24778 724.161872 754.785452 30.085908000000018 0.00111412967 0.6769516470000001 0.1069401126 0.2149941105 0.0 0.0 0.0358234759 0.0358234759 0.0352931608 0.0 0.0 0.0 0.111322513 0.111322513 0.109398528 
133835279.slha -290.787594 260.858446 291.804912 29.929147999999998 0.00210982112 0.676760052 0.10651713269999999 0.2146129934 0.0 0.0 0.0357582241 0.0357582241 0.0350006845 0.0 0.0 0.0 0.111296136 0.111296136 0.10940772 
134205150.slha 489.93336 -460.40675 490.096301 29.526610000000005 0.0015649476 0.676105491 0.10694133589999999 0.2153882263 0.0 0.0 0.0358981803 0.0358981803 0.0351449753 0.0 0.0 0.0 0.111324067 0.111324067 0.109383541 
137297572.slha -327.350959 297.394788 328.423242 29.956170999999983 0.00203738151 0.676569717 0.1070857848 0.2143071183 0.0 0.0 0.0356913142 0.0356913142 0.0357031564 0.0 0.0 0.0 0.111180157 0.111180157 0.110475451 
137408720.slha -868.111401 837.965224 869.193045 30.146176999999966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
