ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln X0ee X0mm X0tt X1en X1mn X1tn X0en X0mn X0tn 
102802854.slha -639.254123 -619.562642 638.763963 19.691481000000067 0.070860053 0.1036196235 0.4325773078 0.385411186368 0.0045110014 0.00302082772 0.215673659 0.215673659 0.0012299898 0.00151041386 0.00151041386 0.0 0.117567877 0.117567877 0.105192302 
103077808.slha 365.431223 344.947595 365.453542 20.48362800000001 0.0246532877 0.8571513229999999 0.0663681623 0.05182722684 0.0 0.0 0.0031303966 0.0031303966 0.0601073691 0.0 0.0 0.0 0.111243812 0.111243812 0.107648629 
104956089.slha 677.966681 658.250183 677.593002 19.716498 0.220243932 0.650060984 0.07127749566 0.05811879702 0.0001794784464 0.0001193121348 0.00748564273 0.00748564273 0.0563062102 5.96560674e-05 5.96560674e-05 0.0 0.1112046 0.1112046 0.10758222 
105043141.slha 465.362101 445.466454 465.392227 19.895646999999997 0.140707413 0.6949327986 0.09499232808 0.06936745922000001 0.0 0.0 0.00537164799 0.00537164799 0.0842490321 0.0 0.0 0.0 0.110305153 0.110305153 0.107805433 
107191728.slha -420.671463 400.369875 420.568488 20.301588000000038 0.0177635847 0.7263336304000001 0.0837635933 0.1721387755 0.0 4.15816546e-07 0.0309332121 0.0309332121 0.0218971691 4.15816546e-07 0.0 0.0 0.0989183039 0.0989183039 0.0812526157 
107328151.slha 402.082508 382.276931 402.08121 19.805577000000028 0.0209003922 0.9109181098 0.0515027599 0.01667873761 0.0 2.68815804e-16 0.0118823099 0.0118823099 0.0277381401 2.68815804e-16 0.0 0.0 0.110886406 0.110886406 0.106254673 
107932147.slha -432.115403 -412.391086 431.861651 19.724317000000042 0.12760078 0.440375994 0.24446777588 0.18706315217 0.000295136772 0.000197161828 0.121251798 0.121251798 0.00196417988 9.8580914e-05 9.8580914e-05 0.0 0.111881882 0.111881882 0.10688328 
110584906.slha -822.338269 802.107019 821.94132 20.231249999999932 0.393766574 0.04901599223999999 0.27735176800690003 0.2795706805273 0.0001761760262 0.000118809364 0.138626093 0.138626093 9.95820069e-05 5.9404682e-05 5.9404682e-05 0.0 0.450794497 0.450794497 0.00174686438 
111542720.slha -416.857147 -397.165071 415.556896 19.692075999999986 0.227369414 0.5217263423 0.0773052383 0.1600273694 0.0081430772 0.005428559 0.0270705231 0.0270705231 0.0231641921 0.0027142795 0.0027142795 0.0 0.11165998 0.11165998 0.106650144 
113727038.slha 553.782669 -533.586111 553.897409 20.196558000000095 0.426769909 0.247542405799 0.319954027379 0.0057336575379276 0.0 0.0 5.74471895e-05 5.74471895e-05 0.319839133 0.0 0.0 0.0 8.2483813e-05 8.2483813e-05 0.580888482 
115931851.slha 357.307281 -337.380531 359.436356 19.92674999999997 0.00392630462 0.6658684952 0.1090071556 0.2211980454 0.0 0.0 0.0368666896 0.0368666896 0.0352737764 0.0 0.0 0.0 0.111462849 0.111462849 0.108009032 
116671206.slha 294.738629 -274.985359 294.952034 19.753269999999986 0.00882107954 0.6833470738 0.10122697680000001 0.2066048714 0.0 0.0 0.0341955204 0.0341955204 0.032835936 0.0 0.0 0.0 0.103666326 0.103666326 0.100799656 
117179820.slha -249.599963 -229.603036 249.73133 19.996927 0.152859931 0.7616534952999999 0.02959204664 0.0558945271 0.0 0.0 0.0112025762 0.0112025762 0.00718689424 0.0 0.0 0.0 0.11134601 0.11134601 0.107117337 
119250692.slha -270.346671 -250.626611 270.506336 19.720060000000018 0.0147276858 0.02137530932 0.44210678976 0.521790215122 0.0 0.0 0.00010353238 0.00010353238 0.441899725 0.0 0.0 0.0 0.0789770284 0.0789770284 0.365888629 
122195070.slha -288.594045 268.450893 288.755653 20.143151999999986 0.00636827315 0.912135123 0.0643779691 0.01711863421 0.0 0.0 0.0116409106 0.0116409106 0.0410961479 0.0 0.0 0.0 0.0681610376 0.0681610376 0.0887206227 
122755866.slha -437.723972 -418.220572 437.522746 19.5034 0.156063435 0.2786966008 0.28569182944 0.27952869294 1.166172052e-05 7.77964008e-06 0.00642305172 0.00642305172 0.272845726 3.88982004e-06 3.88982004e-06 0.0 0.111368302 0.111368302 0.109029998 
124103599.slha 871.276341 -851.447634 870.251888 19.82870700000001 0.103171908 0.24845497 0.01556529498 0.006092930572 0.376058022 0.250656874 0.00593017752 0.00593017752 0.00370493994 0.125328437 0.125328437 0.0 0.0538755786 0.0538755786 0.0689700883 
126430348.slha -584.371769 564.842393 584.527881 19.529375999999957 0.419604511 0.51836503355 0.033631667994000004 0.02839878856518 0.0 0.0 0.000429520847 0.000429520847 0.0327726263 0.0 0.0 0.0 0.0106902375 0.0106902375 0.0958524482 
126709705.slha 491.825674 -471.489939 493.790821 20.335735 0.00122407952 0.6675951953 0.1094430977 0.22173762730000002 0.0 0.0 0.0367990751 0.0367990751 0.0358449475 0.0 0.0 0.0 0.111226744 0.111226744 0.109083128 
128812020.slha 307.251771 287.64023 307.290639 19.611541000000045 0.000697622298 0.00014871003650000002 0.4342229835 0.5649306848000001 0.0 0.0 0.202002809 0.202002809 0.0302173655 0.0 0.0 0.0 0.469114894 0.469114894 0.0549008563 
132127187.slha -503.221823 -483.713392 502.922075 19.508430999999973 0.284405456 0.5486801344000001 0.0550405636 0.1116899656 0.0001103291588 7.35511544e-05 0.0205350176 0.0205350176 0.0139705284 3.67755772e-05 3.67755772e-05 0.0 0.111574921 0.111574921 0.107041327 
132382916.slha 646.594281 626.254467 645.657503 20.339814000000047 0.0271591476 0.1667654136 0.3303299224 0.3423074728 0.0799230842 0.0535149584 0.138132554 0.138132554 0.0540648144 0.0267574792 0.0267574792 0.0 0.112078233 0.112078233 0.107236118 
134985525.slha 240.149304 -219.674064 240.310718 20.475240000000014 0.0193348451 0.8608625094 0.0538612723 0.06594137364 0.0 0.0 0.018394533 0.018394533 0.0170722063 0.0 0.0 0.0 0.0964182469 0.0964182469 0.0859169288 
137488158.slha -905.881766 -885.405444 905.023784 20.476321999999982 0.30212997 0.5175045521 0.0462663084 0.0934842081 0.024372713 0.01624224768 0.0170294046 0.0170294046 0.0122074992 0.00812112384 0.00812112384 0.0 0.111528922 0.111528922 0.107329543 
143489497.slha -303.4773 -283.155367 303.526955 20.321933 0.292426885 0.6090270184000001 0.0413473025 0.0571987939 0.0 0.0 0.0134630897 0.0134630897 0.0144211231 0.0 0.0 0.0 0.111312524 0.111312524 0.107316718 
144089817.slha -611.760292 591.887693 611.251253 19.872599000000037 0.00750133798 0.6716930732 0.1056579657 0.2150633677 5.05515698e-05 3.370340612e-05 0.035638093 0.035638093 0.0343817797 1.685170306e-05 1.685170306e-05 0.0 0.107995485 0.107995485 0.104867801 
144326544.slha 251.167932 -231.577924 251.331548 19.59000800000001 0.339772844 0.4071865756 0.1860097044 0.06703087608 0.0 0.0 0.0356053947 0.0356053947 0.114798915 0.0 0.0 0.0 0.0276181256 0.0276181256 0.1766702 
