ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln X0ee X0mm X0tt X1en X1mn X1tn X0en X0mn X0tn 
11436933.slha 148.056983 -128.379652 128.533544 19.67733100000001 0.0168049104 0.01650070186 0.007968251878 0.0055286192634 0.630710384 0.3224871344 0.00393389533 0.00393389533 0.000100461218 0.1124025508 0.1124025508 0.0976820328 0.021444945 0.0016273874 0.0 
11610583.slha -353.98194 -334.267267 335.77687 19.714673000000005 0.210905424 0.00015956967189999997 2.462622015e-05 4.924218070000001e-05 0.528745704 0.2601154346 8.32492073e-06 8.32492073e-06 7.97637869e-06 0.0880660802 0.0880660802 0.0839832742 0.199946641 0.199946641 0.0 
12101504.slha -668.996273 649.130103 649.294395 19.86617000000001 0.141210009 0.03860122179 0.041556798946 0.028885470212 0.45582982 0.29391668 0.000718869723 0.000718869723 0.0401190595 0.0636097608 0.0636097608 0.1666971584 0.019544163 0.0021963857 0.0 
13163362.slha 187.375416 -167.126472 167.287016 20.248943999999995 0.122876298 0.1085996866 0.0071133234399999995 0.01287538468 0.554987036 0.1935482712 0.00229002841 0.00229002841 0.00253326662 0.0655907036 0.0655907036 0.062366864 0.019919728 0.0019681015 0.0 
14234625.slha 303.507831 -283.189818 283.390585 20.318013000000008 0.125226139 0.163564382 0.024812532399999997 0.0515724318 0.43297464 0.20184987520000003 0.00852764136 0.00852764136 0.00775724968 0.068175077 0.068175077 0.0654997212 0.021317162 0.0053927587 0.0 
16905815.slha -364.189345 -344.325866 344.489158 19.863478999999984 0.757117445 0.002958754294 0.000290398391 6.525015834e-05 0.1621956272 0.07737252459999999 0.00012229182 0.00012229182 4.5814751e-05 0.0260314254 0.0260314254 0.0253096738 0.019621795 0.0021332516 0.0 
18022246.slha -776.337717 -756.255642 756.43629 20.08207500000003 0.0625781733 0.00025017807000000003 8.74341991e-05 2.915795255e-05 0.627270976 0.30978408139999997 3.79246026e-05 3.79246026e-05 1.15849939e-05 0.1046345954 0.1046345954 0.1005148906 0.019608623 0.0034284016 0.0 
18136999.slha 139.282254 -119.361005 119.520508 19.92124899999999 0.000973631164 0.1663506518 0.03932484658 0.031102965201 0.55442346 0.20782444540000003 0.00769777604 0.00769777604 0.0239292945 0.0820769726 0.0820769726 0.0436705002 0.020072308 0.0019090112 0.0 
18306221.slha -632.800023 613.268349 613.433928 19.531674000000066 0.000508871231 0.23008730293000001 0.059153681300000004 0.033009728689 0.540793136 0.13644727938 0.0286597609 0.0286597609 0.0018341595 0.06632372 0.06632372 0.00379983938 0.019464545 0.0022799114 0.0 
18743395.slha -513.767178 -494.132774 494.297527 19.63440399999996 0.00730757489 0.0070543068030000005 0.16156436346108 0.17018139665371398 0.01581558576 0.638076772904 9.3873054e-07 9.3873054e-07 0.161562486 0.000345037452 0.000345037452 0.637386698 0.019513145 0.0022260135 0.0 
