ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln X0ee X0mm X0tt X1en X1mn X1tn X0en X0mn X0tn 
10721362.slha -250.269907 -248.057626 248.220113 2.21228099999999 0.0398672924 6.43609699e-05 1.98896569e-05 1.36917415526e-05 0.719487248 0.24054751638799998 9.94482845e-06 9.94482845e-06 0.0 0.1199882316 0.1199882316 0.000571053188 0.019695317 0.0020835738 0.0 
11558283.slha -206.579526 204.258917 204.419865 2.3206089999999904 0.935172466 0.00028475903170000004 0.01346702278 0.012994209028799998 0.001698461208 0.03638308229863999 0.00673351139 0.00673351139 0.0 0.01819041014 0.01819041014 2.26201864e-06 0.019867024 0.0019915721 0.0 
12548461.slha 800.967375 799.269696 799.491086 1.6976789999999937 0.00057532597 1.9686584951999996e-05 0.000445856954 0.00014449847151300002 0.595849128 0.402965504 0.000222928477 0.000222928477 0.0 0.201482752 0.201482752 0.0 0.02387346 0.0078520023 0.0 
13119890.slha -133.204472 -131.310427 131.466555 1.8940450000000055 0.0959751716 0.003157518537 0.00477137432 0.003743231145 0.530626292 0.3617264132 0.00238568716 0.00238568716 0.0 0.1808632066 0.1808632066 0.0 0.02076 0.0017312681 0.0 
14121485.slha 224.829368 -222.790196 222.951089 2.0391719999999793 3.68120624e-05 0.02599270323 0.00545347062 0.003515050228 0.73135334 0.23364862506128004 0.00272673531 0.00272673531 0.0 0.1168197618 0.1168197618 9.10146128e-06 0.019873982 0.0019883582 0.0 
1487989.slha -1307.55253 1305.10768 1305.26904 2.4448499999998603 0.99958788 0.0001286550839 4.3353908e-06 2.582028077e-06 0.000268490778 8.056877776e-06 2.1676954e-06 2.1676954e-06 0.0 3.80698646e-06 3.80698646e-06 4.42904856e-07 0.019816753 0.0020158109 0.0 
15581086.slha 286.091751 -283.607104 283.770768 2.4846469999999954 0.926825363 0.000948252348 1.28519672e-05 0.06465793654440001 0.0023358812 0.0052197150784 6.4259836e-06 6.4259836e-06 0.0 6.36937792e-05 6.36937792e-05 0.00509232752 0.019591234 0.0021565577 0.0 
16397624.slha -616.547885 -614.758549 615.29088 1.7893359999999348 4.88300012e-05 5.75024225e-05 1.748675354e-05 2.113869476e-06 0.600313644 0.3995604228 8.74337677e-06 8.74337677e-06 0.0 0.1997802114 0.1997802114 0.0 0.094260239 0.07795756 0.0 
17440939.slha -447.47228 445.249339 445.412472 2.2229409999999916 0.353077385 0.0834918411 0.0329726956 0.013966739244 0.407104456 0.10938688423819999 0.0164863478 0.0164863478 0.0 0.0546034038 0.0546034038 0.0001800766382 0.01963546 0.0021233532 0.0 
18098281.slha -642.23467 640.214747 640.525201 2.0199230000000625 0.0229014675 0.3489389409 0.0501607648 0.1340555118 0.2803934 0.1635499156 0.0250803824 0.0250803824 0.0 0.0817749578 0.0817749578 0.0 0.039522366 0.022720936 0.0 
